,ERG
SNRPD1>KLHL24,1
ARHGDIA>MFNG,1
NUDT21>SZRD1,1
MRPL33>JAG2,1
EML4>SF3B3,1
CYB5B>HOXB4,1
NUDCD1>HOXB4,1
LRRC32>PDGFD,1
CAP1>SNRPF,1
IFT43>COX17,1
ATXN10>PIN1,1
NRDC>ATXN10,1
LUC7L>TRAPPC3,1
NOC3L>CYTH2,1
ARHGAP21>ROBO1,1
ABCF1>ROBO1,1
HOOK3>ROBO1,1
SOCS2>TMEM106B,1
ARHGAP21>SAFB2,1
PIK3R1>GFOD1,1
FRG1>NOP58,1
SUPT16H>PRPF8,1
QSOX1>FUBP1,1
PRKAA1>PNKD,1
