,ERG
"NDUFAF3>TMEM43,+",1
"EIF4A1>MKLN1,+",1
"ZKSCAN1>NUDCD1,+",1
"GIMAP7>ATP6V0E1,+",1
"MKLN1>HPCAL1,+",1
"PSMC4>SNRPD2,+",1
"YWHAB>SESN3,+",1
"TMEM30A>CHSY1,+",1
"TACC1>CHSY1,+",1
"HLA-C>B2M,+",1
"PPP2R5E>CHSY1,+",1
"EIF4A1>POLK,+",1
"RPL13>RPS14,+",1
"PPP2R5E>EIF1B,+",1
"AKAP13>EIF1B,+",1
"MKLN1>AP2B1,+",1
"UFC1>HPCAL1,+",1
"COPS6>OS9,+",1
"PCDH17>SLK,+",1
"USP34>DENR,-",1
"YWHAB>EIF3F,+",1
"RTN4>DENR,+",1
"OS9>DENR,+",1
"TUBB>TSC22D3,+",1
"USP34>TSC22D3,+",1
"ATP5PD>ETFB,+",1
"PARK7>ETFB,+",1
"CNPY2>PRPF8,+",1
"PSME2>PSMD8,+",1
"PSME2>PET100,+",1
"GPATCH2L>PET100,+",1
"SEC31A>ILF3,+",1
"AP2B1>LY96,+",1
"CYBC1>HOXB3,+",1
"MRPS34>HOXB3,+",1
"PSME2>SEC31A,+",1
"PSMD8>SEC31A,-",1
"SETD2>PSMD8,-",1
"PRPF8>MCAM,+",1
"SEC31A>PSME2,+",1
"AP2S1>NSD1,+",1
"SET>CHMP3,+",1
"PSME2>CHMP3,+",1
"SKI>CHMP3,+",1
"CHMP2A>C19orf70,+",1
"HNRNPDL>MRPS34,+",1
"SEC31A>CYBC1,+",1
"UBE2Z>PSMA3,+",1
"PRPF8>RPN1,+",1
"SETD2>CYBC1,+",1
"SKI>CTSA,+",1
"C19orf70>RPS27L,+",1
"ACKR1>DUSP23,+",1
"SKI>GPATCH2L,+",1
"CMPK1>GPATCH2L,-",1
"MRPS34>PPP1R14B,-",1
"DNAJB6>PPP1R14B,+",1
"ATP6V0E1>SKI,+",1
"UBE2E3>SKI,+",1
"PDLIM5>ENO1,+",1
"CTSA>AK2,+",1
"PLEKHA3>RHOJ,+",1
"DYNC1I2>TCF25,+",1
"HIST1H1D>KIAA1109,+",1
"SEC31A>PEBP1,+",1
"PSMD8>HEXA,+",1
"ERG>POLK,+",1
"GNG12>HEXA,+",1
"SETD2>AK2,+",1
"BZW1>GRN,+",1
"SKI>CYBC1,+",1
"SEC31A>PRPF8,+",1
"MRPS36>STIP1,+",1
"TCF25>DYNC1I2,+",1
"SKI>GNG12,+",1
"MRPS34>GNG12,+",1
"DYNC1I2>TTC1,+",1
"RPN1>TTC1,+",1
"EIF4G2>PLEKHA3,+",1
"GNAI3>TTC1,+",1
"RPN1>STIP1,+",1
"UBE2Z>STIP1,+",1
"AK2>SEMA6B,+",1
"HIST1H1D>SLC25A5,+",1
"AP2S1>MRPS36,+",1
"ATP6V0E1>MRPS36,+",1
"UBE2E3>MRPS36,+",1
"PSMA3-AS1>PSMD12,+",1
"SEC31A>EI24,+",1
"SEC31A>PRDM1,+",1
"PSME2>GNAI3,+",1
"ATP6V0E1>SEMA6B,+",1
"TMEM109>ATP5PD,+",1
"POLR2B>UBAC1,+",1
"METAP2>SUPT4H1,+",1
"PSMD8>UBAC1,+",1
"AP2S1>UBE2E3,+",1
"EIF3F>PLEKHA3,+",1
"DNAJB6>UBE2Z,+",1
"SETD2>UBE2Z,+",1
"NSD1>UBE2Z,+",1
"PDLIM5>SMG1,+",1
"VCP>HIST1H1D,+",1
"CTSA>SUPT4H1,+",1
"SEC31A>PLEKHA3,+",1
"ATP6V0E1>SUPT4H1,+",1
"CYBC1>SOX7,+",1
"AP2S1>ARHGAP23,+",1
"UBE2Z>ARHGAP23,+",1
"METAP2>ARHGAP23,+",1
"CYBC1>ARHGAP23,+",1
"VCP>CACYBP,+",1
"SETD2>CACYBP,-",1
"ENO1>NDUFC1,+",1
"EIF3I>PSMA3,+",1
"PKM>RBMX,+",1
"NDUFB1>HNRNPM,+",1
"BNIP3L>CTSZ,+",1
"PIK3C2A>CTSZ,+",1
"PSMB5>FLOT1,+",1
"NDUFA1>NFE2L1,+",1
"ESD>NFE2L1,+",1
"PSMA3>NFE2L1,+",1
"CTSL>ESD,+",1
"ATP5MC3>ARL2,+",1
"CD151>ESD,+",1
"NDUFA1>PARK7,+",1
"DBI>PARK7,+",1
"PRDX5>HNRNPD,+",1
"PIK3R3>HNRNPD,+",1
"ESD>CBX3,+",1
"HNRNPDL>NDUFA1,+",1
"PRDM1>ERG,+",1
"RAB5C>BSG,+",1
"MKLN1>NDUFA1,+",1
"CTSB>DYNC1H1,+",1
"NDUFA1>CRBN,+",1
"MED13>CRBN,+",1
"SSU72>MCAM,+",1
"EFCAB14>SOX7,+",1
"PAIP2>YME1L1,+",1
"TTC1>RNF145,+",1
"EIF4H>TTC1,+",1
"ASPH>RNF145,+",1
"PAIP2>MCAM,+",1
"PSMA3>MCAM,+",1
"ASPH>RNF7,+",1
"CNKSR3>SOX7,+",1
"BCAP31>UBE2E3,+",1
"CBX3>MCAM,+",1
"CCT3>UBE2E3,+",1
"EFCAB14>MED13,+",1
"GSTK1>TTC1,+",1
"UBE2E3>TCEAL8,+",1
"YME1L1>TCEAL8,+",1
"CCT3>NIPBL,+",1
"MED13>TCEAL8,+",1
"CRBN>TMEM173,+",1
"NDUFA1>SYF2,+",1
"MRPL33>SYF2,+",1
"MED13>SYF2,+",1
"NFIC>DNAJB14,+",1
"TIE1>MKLN1,+",1
"KLF13>PIK3R3,+",1
"SELENOM>RANBP1,+",1
"NDUFA1>FAM177A1,+",1
"RTCB>KLF13,+",1
"RTCB>MBD2,+",1
"MRPS34>SNRPB2,+",1
"CHMP2A>SNRPB2,+",1
"MKLN1>DNAJB14,+",1
"DNAJB14>MKLN1,+",1
"DNAJB14>SUCLG1,+",1
"RTCB>SUCLG1,-",1
"UFC1>DPP7,+",1
"LAMTOR1>DPP7,+",1
"KLF13>RTCB,+",1
"MRPS34>ELOVL1,-",1
"CRBN>RTCB,+",1
"PIK3R3>RTCB,+",1
"SETD5>MKLN1,+",1
