,PTEN
"MBTPS1>NME4,+",2
"SHOC2>GABARAPL1,+",2
"CHSY1>PSMC4,-",2
"KDELR2>CHSY1,+",2
"S100A4>CCDC88A,+",2
"HLA-C>HLA-A,+",2
"STX12>NMI,+",2
"KDM2A>SMIM37,+",2
"PTEN>ALG5,+",2
"TCN2>FDPS,+",2
"LAMA5>GOLGA2,+",2
"C1orf123>PSMB3,+",2
"SAP30BP>RAB4A,-",2
"ELMO1>PRKCSH,+",2
"SLIRP>ABCC4,+",2
"COPS2>ABCC4,+",2
"KDM2A>UPF2,+",2
"GABARAPL1>ZNHIT1,+",2
"TMEM273>SH3BGRL2,+",2
"CCDC88A>EIF3D,+",2
"H2AFJ>FCHO2,+",2
"PRKAA1>TAOK3,+",2
"LAMA5>ZNF207,+",2
"C1GALT1C1>RAB4A,+",2
"RAB4A>C1orf123,+",2
"PPP4R3A>GOLGA2,+",2
"RAB4A>SAP30BP,-",2
"ELMO1>WDR1,+",2
"UBE2I>WDR1,+",2
"MCAM>UPF2,+",2
"TXNDC12>C1orf115,+",2
"PSMC4>RNF10,+",2
"ZNHIT1>SMC4,+",2
"PTEN>PBXIP1,+",2
"PTEN>GABARAPL1,+",2
"GABARAPL1>ERGIC2,+",2
"TMEM273>PSMF1,+",2
"PSMB3>RTF1,+",2
"SLC25A11>MAGT1,+",2
"CCDC88A>PHF20L1,+",2
"STAT5B>KDM2A,+",2
"VAT1>PPP4R3A,+",2
"ELMO1>UBE2I,-",2
"ZNF207>CREBRF,+",2
"TCN2>ANP32E,-",2
"RAB5C>FCHO2,+",2
"RILPL2>PTEN,+",2
"RNF10>ITSN2,+",2
"UBE2Q2>ACTR1A,+",2
"EMC2>SYF2,+",2
"ZKSCAN1>EMC2,+",2
"SHOC2>CHSY1,+",2
"UBE2Q2>WDR1,+",2
"TXNDC12>ERGIC2,+",2
"TXNDC12>VPS37B,+",2
"PTEN>SAP30BP,+",2
"C3orf58>RNF10,+",2
"TXNDC12>PRKCSH,+",2
"PSMB3>DAZAP2,+",2
"RTF1>FDPS,+",2
"TMEM273>TXNDC12,+",2
"WDR1>LGALS1,+",2
"TXNDC12>SPAG9,+",2
"TXNDC12>TMEM273,+",2
"GABARAPL1>MBTPS1,+",2
"TAOK3>PRKAR2A,+",2
"CALCOCO2>EMC2,+",2
"UBE2Q2>LGALS1,+",2
"NME4>SHOC2,+",2
"KDM2A>SHOC2,+",2
"DMAC1>ANP32E,+",2
"TCN2>KPNB1,+",2
"TMEM273>SAT2,+",2
"TXNDC12>S100A4,-",2
"STX12>FBN1,+",2
"TXNDC12>NUDCD1,+",2
"SAP30BP>KDM2A,-",2
"ATP5F1C>CCT5,+",2
"TCN2>MCAM,+",2
"TXNDC12>FGD5-AS1,+",2
"PKM>SYF2,+",2
"SHOC2>RAB4A,-",2
"PSMA1>SYF2,+",2
"KDM2A>CALCOCO2,+",2
"H2AFJ>RNF10,+",2
"SAP30BP>C1orf115,+",2
"PSMB3>HIGD2A,+",2
"NMI>STX12,+",2
"SEC61G>BLOC1S1,+",2
"TXNDC12>CYTH1,+",2
"ANKRD28>TRA2A,+",2
"CNOT4>EIF3D,+",2
"AES>SOS1,+",2
"C3orf58>PTEN,+",2
"CYTH1>UPF2,+",2
"CCDC88A>ATP2A2,+",2
"RAP1B>GOLGA2,+",2
"TAOK3>VAT1,+",2
"ZNF207>S100A4,+",2
"KNOP1>TMEM273,+",2
"COPS2>SMC4,+",2
"HIGD2A>GABARAPL1,+",2
"IFNAR2>TAOK3,+",2
"RILPL2>PPP3CA,+",2
"IFNAR2>ZNF428,+",2
"TXNDC12>HIGD2A,+",2
"SMARCE1>UPF2,+",2
"TMEM273>KNOP1,+",2
"CLTC>KPNB1,+",2
"WDR1>TCN2,+",2
"ATP5F1C>LIPA,-",2
"TXNDC12>EMC2,+",2
"FGD5-AS1>CCT5,+",2
"ZNHIT1>LIPA,+",2
"FDPS>H2AFJ,+",2
"UPF2>PPP4R3A,+",2
"STX12>SYF2,+",2
"KPNB1>C3orf58,+",2
"KNOP1>VAT1,+",2
"SEC63>ITSN2,+",1
"ACBD3>PBXIP1,+",1
"KDM2A>SLC30A7,+",1
"RBMX>MCAM,+",1
"SAP30BP>MCAM,+",1
"TMEM50B>TCN2,-",1
"APLP2>DAZAP2,+",1
"CYTH1>HIGD2A,+",1
"KDM2A>GLG1,+",1
"BEND7>CYTH1,+",1
"ACBD3>EIF3D,+",1
"CSDE1>ITSN2,+",1
"RNF10>S100A4,+",1
"BEND7>S100A4,-",1
"SMARCE1>LAMA5,+",1
"ZC3H14>TET2,+",1
"SAP30BP>PSMB3,+",1
"PRKD3>USP9X,+",1
"EIF3D>VPS37B,+",1
"APC>MRPL32,+",1
"SMAD9>H2AFJ,+",1
"CCDC88A>VPS37B,+",1
"APC>TLK1,+",1
"VAT1>PBXIP1,+",1
"PTTG1IP>LIPA,+",1
"PBXIP1>VPS37B,+",1
"OPTN>RILPL2,+",1
"PTTG1IP>COPA,+",1
"SEM1>COPA,+",1
"STAT5B>CYTH1,+",1
"PRKAR2A>ZNHIT1,+",1
"EIF3D>TTC19,+",1
"SAP30BP>TTC19,+",1
"NR4A2>USP14,+",1
"C1orf115>USP14,+",1
