,AR
"WAC>ELK4,+",1
"GTF2I>ELK4,+",1
"TGM2>CTSC,+",1
"ROBO1>PPIP5K2,+",1
"RPS17>FBL,+",1
"RNMT>ELK4,+",1
"NCOA4>CTBS,+",1
"CFI>ELK4,+",1
"RAB18>DPM3,-",1
"CCT7>PPIP5K2,+",1
"ZBTB38>SUGP2,+",1
"DDX46>B4GALT1,+",1
"GTF2I>B4GALT1,+",1
"RAB18>B4GALT1,+",1
"ZSCAN18>SUN2,+",1
"SUN2>GATAD1,+",1
"MRPS10>BRD7,-",1
"RWDD1>RGS16,+",1
"MRPS10>RGS16,+",1
"KNOP1>PPP2R1A,+",1
"RPAP2>SMARCE1,+",1
"DNMT1>SMARCE1,+",1
"INTS3>TRA2A,-",1
"CTBS>RPL17,+",1
"RWDD1>SEC22B,-",1
"RWDD1>SRM,-",1
"SUN2>TM7SF3,-",1
"INTS3>SEC22B,+",1
"ATP6AP2>KIDINS220,+",1
"CDC42SE1>TM7SF3,-",1
"ACTR2>GANAB,+",1
"NFU1>ERCC6L2,-",1
"HSPD1>KIDINS220,+",1
"NUCB1>HLA-DPB1,+",1
"ZBTB38>IFI44L,+",1
"ATP6AP2>MPRIP,+",1
"APH1A>ZMYND11,-",1
"CTBS>ZMYND11,+",1
"RWDD1>MDFIC,+",1
"RBPMS>SRM,+",1
"RAB18>RPAP2,+",1
"ATP6AP2>TMEM259,+",1
"NCOA4>NCOA3,+",1
"ADAR>NF1,+",1
"RPAP2>SEPT9,-",1
"SRP72>TCEAL3,+",1
"GTF2I>TCEAL3,+",1
"RWDD1>DPM3,+",1
"ATP6AP2>DPM3,+",1
"PRMT1>DPM3,+",1
"ZSCAN18>DEPP1,+",1
"RPAP2>MRPL32,+",1
"PPP4R2>NSRP1,+",1
"RAB18>ARPC5L,+",1
"NFE2L1>NSRP1,+",1
"NF1>NSRP1,+",1
"SRM>PFDN1,+",1
"ROBO1>RPAP2,+",1
"DDX46>PFDN1,+",1
"ZBTB38>MLH3,+",1
"RGS16>PFDN1,+",1
"CASP8AP2>MLH3,-",1
"KDELR1>CFI,+",1
"ITFG1>RAB18,-",1
"DNMT1>RAB18,+",1
"WBP2>MLH3,-",1
"SRP72>NCOA4,+",1
"NUCB1>SELE,+",1
"RPAP2>ZSCAN18,+",1
